explain_path,photo_path,name,con_yr,re_yr,bldg_type,bldg_loc,Area,gr_floor,under_floor,re_cost,energy_reduction,co2_reduction
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_99.png,img/rec_fig/99.png,한국방송통신대학교 열린관,1982.00,2018.00,7.00,1.00,5808.00,5.86,1.00,7475000.00,0.53,0.53
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_100.png,img/rec_fig/100.png,한국교통대학교 건축관,1985.00,2018.00,7.00,4.00,2666.00,3.00,0.00,2900000.00,0.51,0.51
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_101.png,img/rec_fig/101.png,대구시 대명동 상가주택,1995.00,2006.00,1.00,13.00,6820.33,2.00,1.00,2900000.00,0.49,0.49
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_102.png,img/rec_fig/102.png,경기도 안양시 ARK,1973.00,2016.00,1.00,2.00,204.00,3.00,0.00,2900000.00,0.44,0.44
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_103.png,img/rec_fig/103.png,DPR Construction Phoenix Regional Office(NZEB),1972.00,2011.00,11.00,23.00,1519.43,1.65,0.05,2480000.00,0.99,0.99
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_104.png,img/rec_fig/104.png,The George D. Aiken Center at the University of Vermont,1982.00,2011.00,7.00,25.00,3716.12,1.65,0.05,2480000.00,0.63,0.63
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_105.png,img/rec_fig/105.png,5Pev,1954.71,2014.00,2.00,56.00,84.08,1.65,0.05,2480000.00,0.69,0.66
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_106.png,img/rec_fig/106.png,A2Dominion- Northholt,1954.71,2010.35,2.00,32.00,79.90,1.65,0.05,2480000.00,0.50,0.57
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_107.png,img/rec_fig/107.png,Almshouses,1954.71,2010.00,2.00,34.00,27.87,1.65,0.05,2480000.00,0.80,0.80
https://raw.githubusercontent.com/Saem-repo/remodel_app/master/img/pop_up/Explain_108.png,img/rec_fig/108.png,Barbrook PassivHaus,1954.71,2010.00,2.00,33.00,71.07,1.65,0.05,2480000.00,0.88,0.94
