Id,사진,이름,준공년도,리모델링년도,빌딩타입,위치,면적,지상층수,지하층수,전_에너지소비량,후_에너지소비량,에너지저감율,전_벽열관류율,후_벽열관류율,벽열관류율_향상율,전_바닥열관류율,후_바닥열관류율,바닥열관류율_향상율,전_지붕열관류율,후_지붕열관류율,지붕열관류율_향상율,전_창문열관류율,후_창문열관류율,창문열관류율_향상율,전_기밀성,후_기밀성,기밀성_향상율,전_일사차폐계수,후_일사차폐계수,일사차폐계수_향상율,전_이산화탄소배출량,후_이산화탄소배출량,이산화탄소배출량_향상율
70,,EAN 테크놀로지 신사옥,1998,2017,11,1,2000,10,1,238943.835,149164.94,0.375732209,0.58,0.223,0.615517241,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.37,1.495,0.556379822,37.58,5,0.866950506,0.62,0.42,0.322580645,101312,63246,0.375730417
71,,부평 단독주택,1984,2016,1,3,146,2,1,98053.23,33332.25,0.660059643,0.946,0.24,0.746300211,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.5,0.582172702,37.58,5,0.866950506,0.62,0.35,0.435483871,41574,14133,0.660051956
72,,한서빌딩,1983,2017,11,1,2467,5,1,362929.53,173692.99,0.521414006,0.946,0.24,0.746300211,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.5,0.582172702,37.58,5,0.866950506,0.62,0.35,0.435483871,153882,73645,0.521419009
73,,피닉스호텔,1976,2017,12,14,6858,15,2,4390921.28,1639652.16,0.62658129,0.946,0.32,0.661733615,0.328,0.35,-0.067073171,0.56,0.18,0.678571429,3.59,1.8,0.498607242,37.58,5,0.866950506,0.62,0.35,0.435483871,1861751,695212,0.626581643
74,,한국외국어대학교 글로벌캠퍼스 인문경상관,1985,2017,7,2,6599,4,1,2565691,1377211,0.46322024,0.946,0.24,0.746300211,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.5,0.582172702,37.58,5,0.866950506,0.62,0.35,0.435483871,1087853,583937,0.463220674
75,,경기도 용인시 처인구 단독주택,1996,2016,1,2,199,2,1,17306,10810,0.375361146,0.946,0.24,0.746300211,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.5,0.582172702,37.58,5,0.866950506,0.62,0.35,0.435483871,7338,4583,0.3754429
76,,광주 계림동 숙박시설 금수장관광호텔,1998,2016,12,10,3163,5.862068966,1,278494,187244,0.327655174,0.946,0.32,0.661733615,0.328,0.35,-0.067073171,0.56,0.18,0.678571429,3.59,1.8,0.498607242,37.58,5,0.866950506,0.62,0.35,0.435483871,118081,79391,0.327656439
77,,서초동 업무시설,1995,2015,11,1,14514,5.862068966,1,2881029,1991310,0.30881987,0.946,0.24,0.746300211,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.5,0.582172702,37.58,5,0.866950506,0.62,0.35,0.435483871,1221556,844315,0.308820062
78,,국도화학 공장,1997,2016,11,1,4826,5.862068966,1,158775,115705,0.271264368,0.523,0.296,0.434034417,0.328,0.29,0.115853659,0.56,0.15,0.732142857,4,2.1,0.475,37.58,5,0.866950506,0.62,0.35,0.435483871,67321,49059,0.271267509
79,,한국외대 글로벌 캠퍼스 어문학관,2002,2015,7,2,13172,4,1,4917107,3293000,0.330297266,0.946,0.24,0.746300211,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.5,0.582172702,37.58,5,0.866950506,0.62,0.35,0.435483871,2084853,1396232,0.330297148
80,,경북 영주 문수면 사무소,1985,2013,11,11,892,5.862068966,1,334589.2,222197.2,0.335910424,0.946,0.32,0.661733615,0.328,0.35,-0.067073171,0.56,0.18,0.678571429,3.59,1.8,0.498607242,37.58,5,0.866950506,0.62,0.35,0.435483871,141865.8208,94211.6128,0.335910424
81,,충북대학교 생활관(진리관),1990,2013,7,4,2655,5.862068966,1,679680,431703,0.36484375,0.946,0.24,0.746300211,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.5,0.582172702,37.58,5,0.866950506,0.62,0.35,0.435483871,288184.32,183042.072,0.36484375
82,,전북 고창 동리국악당(신재효고택동리국악당),1990,2014,3,8,2248,5.862068966,1,832434.4,604262.4,0.274102079,0.946,0.24,0.746300211,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.5,0.582172702,37.58,5,0.866950506,0.62,0.35,0.435483871,352952.1856,256207.2576,0.274102079
83,,충북 청주 시립 미술관,1978,2015,3,4,4546,5.862068966,1,1852949.6,1095586,0.408734053,0.946,0.24,0.746300211,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.5,0.582172702,37.58,5,0.866950506,0.62,0.35,0.435483871,785650.6304,464528.464,0.408734053
84,,서울세관 2동 청사,1982,2015,11,1,13346,5.862068966,1,4289348.7,2937746.7,0.31510658,0.946,0.24,0.746300211,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.5,0.582172702,37.58,5,0.866950506,0.62,0.35,0.435483871,1818683.849,1245604.601,0.31510658
85,,경기도청 제2별관,1990,2014,11,2,8120,8,2,2900464,1880592,0.35162374,0.946,0.24,0.746300211,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.5,0.582172702,37.58,5,0.866950506,0.62,0.35,0.435483871,1229796.736,797371.008,0.35162374
86,,경북 문경시청사,1990,2015,11,11,10067,4,1,3007012.9,2330510.5,0.224974891,0.946,0.24,0.746300211,0.328,0.29,0.115853659,0.56,0.15,0.732142857,3.59,1.5,0.582172702,37.58,5,0.866950506,0.62,0.35,0.435483871,1274973.47,988136.452,0.224974891
