,pic,name,loc,BT,Area,ER,UWaB,UWaA,UFB,UFA,URB,URA,UWiB,UWiA,ATB,ATA,SCB,SCA
154,img/rec_fig/155.png,Metropolitan Housing Trust,32,2,109.63,0.71,0.946,0.35,1.312,0.45,1.037,0.25,3.596,0.7,37.58,5,2.61,0.595
155,img/rec_fig/156.png,Castle Rock Edinvar,32,2,75.25,0.46,0.946,0.35,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
156,img/rec_fig/157.png,One Planet Sutton,54,2,74.32,0.61,0.946,0.2,1.312,0.12,1.037,0.13,3.596,1.38,37.58,5,2.61,0.595
157,img/rec_fig/158.png,Plus Dane Group,55,2,89.19,0.6,0.946,0.11,1.312,0.12,1.037,0.15,3.596,3.3,37.58,5,2.61,0.595
158,img/rec_fig/159.png,Peabody,32,2,97.55,0.57,0.946,0.11,1.312,0.45,1.037,0.25,3.596,0.8,37.58,5,2.61,0.595
159,img/rec_fig/160.png,Peterborough EnviroCluster,34,2,76.18,0.69,0.946,0.16,1.312,0.45,1.037,0.1,3.596,0.8,37.58,5,2.61,0.595
160,img/rec_fig/161.png,Dartford Borough Council,52,2,60.39,0.38,0.946,0.12,1.312,0.17,1.037,0.13,3.596,1.5,37.58,5,2.61,0.595
161,img/rec_fig/162.png,Redlands,33,2,150.5,0.56,0.946,0.35,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
162,img/rec_fig/163.png,Powys County Council,64,2,81.75,0.79,0.946,0.142,1.312,0.45,1.037,0.25,3.596,0.7,37.58,5,2.61,0.595
163,img/rec_fig/164.png,White Design Associates,35,2,69.68,0.85,0.946,0.35,1.312,0.45,1.037,0.25,3.596,3.3,37.58,5,2.61,0.595
164,img/rec_fig/165.png,Appledore,,,,,,,,,,,,,,,,
